2020-01-06 | 03:33:54 |  169 | INFO | org.RSSoft.CharMaker.control.ControlCharacterSet | setCurrentCharacterSet | set a new CharacterSet Sixteen
2020-01-06 | 03:42:15 |  748 | INFO | org.RSSoft.CharMaker.core.character.CharacterSet | <init> | new Character set: , height: 8, width: 8
2020-01-06 | 03:42:19 |  690 | INFO | org.RSSoft.CharMaker.control.ControlCharacterSet | setCurrentCharacterSet | set a new CharacterSet Sixteen
2020-01-06 | 03:45:41 |   32 | INFO | org.RSSoft.CharMaker.core.character.CharacterSet | <init> | new Character set: , height: 8, width: 8
2020-01-06 | 03:45:44 |  776 | INFO | org.RSSoft.CharMaker.control.ControlCharacterSet | setCurrentCharacterSet | set a new CharacterSet Sixteen
2020-01-06 | 03:46:40 |  184 | INFO | org.RSSoft.CharMaker.core.character.CharacterSet | <init> | new Character set: , height: 8, width: 8
2020-01-06 | 03:46:44 |  196 | INFO | org.RSSoft.CharMaker.control.ControlCharacterSet | setCurrentCharacterSet | set a new CharacterSet Sixteen
2020-01-06 | 03:47:31 |  675 | INFO | org.RSSoft.CharMaker.core.character.CharacterSet | <init> | new Character set: , height: 8, width: 8
2020-01-06 | 03:47:35 |  121 | INFO | org.RSSoft.CharMaker.control.ControlCharacterSet | setCurrentCharacterSet | set a new CharacterSet Sixteen
2020-01-06 | 03:49:53 |  252 | INFO | org.RSSoft.CharMaker.core.character.CharacterSet | <init> | new Character set: Sixteen, height: 32, width: 16
2020-01-06 | 03:49:53 |  254 | INFO | org.RSSoft.CharMaker.control.ControlCharacterSet | setCurrentCharacterSet | set a new CharacterSet Sixteen
2020-01-06 | 03:50:05 |  156 | INFO | org.RSSoft.CharMaker.core.character.CharacterSet | addCharacter | new Character: 0
2020-01-06 | 03:55:16 |  514 | INFO | org.RSSoft.CharMaker.core.character.CharacterSet | addCharacter | new Character: 2
2020-01-06 | 03:58:12 |  473 | INFO | org.RSSoft.CharMaker.core.character.CharacterSet | addCharacter | new Character: 1
2020-01-06 | 03:59:52 |  170 | INFO | org.RSSoft.CharMaker.core.character.CharacterSet | addCharacter | new Character: 3
2020-01-06 | 04:03:35 |  127 | INFO | org.RSSoft.CharMaker.core.character.CharacterSet | addCharacter | new Character: 5
2020-01-06 | 04:09:07 |  943 | INFO | org.RSSoft.CharMaker.core.character.CharacterSet | addCharacter | new Character: 4
2020-01-06 | 04:16:04 |  328 | SEVERE | org.RSSoft.CharMaker.core.HeaderWriter | aquireCharacter | null
2020-01-06 | 04:16:04 |  379 | SEVERE | org.RSSoft.CharMaker.core.HeaderWriter | aquireCharacter | null
2020-01-06 | 04:16:04 |  419 | SEVERE | org.RSSoft.CharMaker.core.HeaderWriter | aquireCharacter | null
2020-01-06 | 04:16:04 |  465 | SEVERE | org.RSSoft.CharMaker.core.HeaderWriter | aquireCharacter | null
2020-01-06 | 04:16:04 |  514 | SEVERE | org.RSSoft.CharMaker.core.HeaderWriter | aquireCharacter | null
2020-01-06 | 04:16:04 |  576 | SEVERE | org.RSSoft.CharMaker.core.HeaderWriter | aquireCharacter | null
2020-01-06 | 04:16:48 |  703 | SEVERE | org.RSSoft.CharMaker.core.HeaderWriter | aquireCharacter | null
